id,system,sector,region,grid,grid_col,grid_row
sw-00000,23 Mere,,Colonies,M-13,M,13
sw-00001,2GS-91E20,,Core Worlds,M-11,M,11
sw-00002,5251977,Quence,Outer Rim Territories,P-18,P,18
sw-00003,A-Foroon,Arkanis,Outer Rim Territories,R-16,R,16
sw-00004,Aaeton,,Core Worlds,K-9,K,9
sw-00005,Aakaash,Oplovis,Outer Rim Territories,M-5,M,5
sw-00006,Aaloth,Gaulus,Outer Rim Territories,S-17,S,17
sw-00007,Aar,Nijune,Outer Rim Territories,N-5,N,5
sw-00008,Aargau,,Core Worlds,L-10,L,10
sw-00009,Aargonar,Perkell,Mid Rim,Q-7,Q,7
sw-00010,Aaris,Kathol,Outer Rim Territories,M-21,M,21
sw-00011,Aaron,Tharin,Outer Rim Territories,S-8,S,8
sw-00012,Ab Dalis,Gaulus,Outer Rim Territories,R-17,R,17
sw-00013,Ab'Bshingh,Sujimis,Outer Rim Territories,O-19,O,19
sw-00014,Abaarian,Abaar,Mid Rim,K-7,K,7
sw-00015,Abafar,Quelii,Outer Rim Territories,O-6,O,6
sw-00016,Abar,Tragan Cluster,Outer Rim Territories,N-5,N,5
sw-00017,Abbaji,Zuma (Spar),Outer Rim Territories,H-16,H,16
sw-00018,Abecederia,Noolian,Mid Rim,Q-13,Q,13
sw-00019,Abednedo,,Colonies,N-12,N,12
sw-00020,Abelor,Yushan,Mid Rim,K-17,K,17
sw-00021,Abersyn,Cyrillian Protectorate,Expansion Region,O-12,O,12
sw-00022,Abhean,Maldrood,Mid Rim,R-7,R,7
sw-00023,Abo Dreth,Corporate Sector,Outer Rim Territories,S-3,S,3
sw-00024,Abonshee,Fakir,Colonies,K-9,K,9
sw-00025,Abraxas,Yushan,Mid Rim,K-17,K,17
sw-00026,Abraxin,Tion Hegemony,Outer Rim Territories,S-6,S,6
sw-00027,Abregado,,Core Worlds,K-13,K,13
sw-00028,Abridon,Koradin,Outer Rim Territories,J-18,J,18
sw-00029,Abrihom,Rayter,Outer Rim Territories,J-19,J,19
sw-00030,Abrion Major,Abrion,Outer Rim Territories,S-15,S,15
sw-00031,Absanz,Allied Tion,Outer Rim Territories,S-6,S,6
sw-00032,Absit,Tunka,Outer Rim Territories,I-19,I,19
sw-00033,Abyss,Ash Worlds,Outer Rim Territories,S-7,S,7
sw-00034,Ac'fren,Calaron,Outer Rim Territories,T-9,T,9
sw-00035,Acachla,,Colonies,N-10,N,10
sw-00036,Achillea,Tapani,Colonies,L-13,L,13
